artist,number_of_albums,number_of_songs,number_of_words,number_of_unique_words,most_repeated_word,most_repeated_word_count,top2_word,top2_word_count,top3_word,top3_word_count,top4_word,top4_word_count,top5_word,top5_word_count,artist_image,artist_image_old
Public Enemy,17,108,91529,9721,know,595,one,431,go,428,back,394,yo,385,https://drive.google.com/uc?id=1osL5Sfu8IxfVJlVY5kmnnGEnTSm9q9zT,../images/Public Enemy.png
Pusha T,7,51,29964,5360,nigga,229,yeah,150,money,145,know,144,see,110,https://drive.google.com/uc?id=1-rgigaBR-0-0nZhNAiwx1TmGGljHN_FA,../images/Pusha T.png
Queen Latifah,6,23,25264,3704,know,206,love,156,yeah,135,go,127,queen,121,https://drive.google.com/uc?id=1sYqSLII_bjFsZV0siGaewLatjpDKfM9i,../images/Queen Latifah.png
Run D.M.C.,7,50,36824,5102,run,263,rock,200,know,176,dumb,167,king,158,https://drive.google.com/uc?id=1FVbaKJfb5q02KI0LTGJ5yLAF7snVcPUI,../images/Run_DMC.png
Scarface,13,77,92596,8140,nigga,690,shit,531,fuck,442,know,418,back,326,https://drive.google.com/uc?id=1ctcpUFShxXRAvr00mJqxq6Vrm8acmlii,../images/Scarface.png
Slick Rick,5,25,25198,4468,rick,128,know,118,said,117,one,101,run,93,https://drive.google.com/uc?id=1sEXNQ-UvNRuACb9iuNSxE0IpRK77xHxd,../images/Slick Rick.png
Snoop Dogg,32,243,229928,13794,nigga,1633,yeah,1325,know,1293,shit,1079,dogg,932,https://drive.google.com/uc?id=12lKRL2apzSdxlOZ8Xjhx8-BlGx60CiS6,../images/Snoop Dogg.png
Talib Kweli,12,60,70492,8853,yeah,384,know,341,love,303,go,278,come,227,https://drive.google.com/uc?id=14CSySIKDdmDh99Hm4Rv4-AqKd2x9vEvl,../images/Talib Kweli.png
The Notorious B.I.G.,5,17,56348,6229,know,377,biggie,376,shit,352,nigga,350,back,320,https://drive.google.com/uc?id=1CHTSnX9buii-QKGxgrNDtR1w32nbR2IV,../images/The Notorious B.I.G..png
The Pharcyde,3,13,20436,3550,know,143,ya,135,shit,107,mama,90,nigga,84,https://drive.google.com/uc?id=1LuzfwDwsRMqQvYfsro1CBn-qdOSifkAr,../images/The Pharcyde.png
Travis Scott,6,62,41740,4959,yeah,869,know,395,oh,333,ooh,302,shit,198,https://drive.google.com/uc?id=1127aZbxKXUCfGhR4ZEqj8w3VSPFkP4nc,../images/Travis Scott.png
Vince Staples,11,85,39879,4867,yeah,409,know,271,love,254,never,240,nigga,232,https://drive.google.com/uc?id=1cVazoUDBDrMM1edNQt3RNhganTyd6EzJ,../images/Vince Staples.png
Wu-Tang Clan,9,53,72847,10952,yo,358,one,326,tang,296,shit,291,man,261,https://drive.google.com/uc?id=1wEOZUUE7cm6KSeql17kWX678pdCY9Tr9,../images/Wu_Tang Clan.png
Yasiin Bey,4,38,28843,5068,know,158,love,144,black,133,say,99,rock,98,https://drive.google.com/uc?id=1jDD60DgmaPhQWkBt1icBsC-rU5J100R-,../images/Yasiin Bey.png
Young Thug,19,146,144058,9356,yeah,2620,nigga,1089,know,1072,bitch,1010,baby,784,https://drive.google.com/uc?id=1wZeNP1lt2jA40zxze0iHSHfayh0xPkq8,../images/Young Thug.png
