title,album,release_date,featured_artists,producer_artists,writer_artists,genius_track_id,genius_album_id,artist,file_exists
Pusha Man/Paranoia,Acid Rap,2013,"['Nate Fox', 'Lili K']","['Nosaj Thing', 'Ceej']","['Nosaj Thing', 'Ceej', 'Lili K', 'Nate Fox', 'Chance the Rapper']",146865,29884,Chance the Rapper,False
Instagram Song 5,Instagram EP,2020,[],['Sonny Digital'],[],5499569,629079,Chance the Rapper,False
Zanies and Fools,The Big Day,2019,"['DIXSON', 'Nicki Minaj']","['Chance the Rapper', 'Peter CottonTale', 'Nico Segal', 'Nate Fox', 'Greg Landfair', 'Dwayne Verner Jr.', 'Carter Lang']","['Peter CottonTale', 'Richard Rodgers', 'Oscar Hammerstein II', 'Nico Segal', 'Nate Fox', 'Dwayne Verner Jr.', 'DIXSON', 'Carter Lang', 'Nicki Minaj', 'Chance the Rapper', 'Rodgers & Hammerstein']",4730345,446915,Chance the Rapper,False
YAH Know,Star Line Gallery,2022,['King Promise'],"['DexLvL', 'Peter CottonTale', 'Joseph Esquivel', 'Daniel Cabrera']","['Chance the Rapper', 'DexLvL', 'Peter CottonTale', 'Mia Lee', 'King Promise', 'VIC MENSA', 'Joseph Esquivel', 'Daniel Cabrera']",8467699,743978,Chance the Rapper,False
Windows,10 Day,2012,"['Akenya', 'Alex Wiley']",['Apollo Brown'],"['Alex Wiley', 'Akenya', 'Chance the Rapper']",72700,15144,Chance the Rapper,False
We Go High,The Big Day,2019,[],"['Nate Fox', 'Peter CottonTale', 'Ben Lusher', 'Nico Segal', 'Chance the Rapper', 'DIXSON']","['Mike Servin', 'Peter CottonTale', 'Nico Segal', 'Nate Fox', 'DIXSON', 'Ben Lusher', 'Chance the Rapper']",4662057,446915,Chance the Rapper,False
U Got Me Fucked Up,10 Day,2012,[],['Chuck Inglish'],"['Chance the Rapper', 'Chuck Inglish']",81730,15144,Chance the Rapper,False
Town on the Hill,The Big Day,2019,[],"['Justin Vernon', 'Francis and the Lights', 'Chance the Rapper', 'Peter CottonTale']","['Michael Noyce', 'BJ Burton', 'Francis and the Lights', 'Chance the Rapper', 'Justin Vernon', 'Peter CottonTale']",4730369,446915,Chance the Rapper,False
Prom Night,10 Day,2012,[],"['Prince Talent', 'Such N Such', 'THEMPeople']","['Chance the Rapper', 'Prince Talent', 'Such N Such', 'THEMPeople']",70510,15144,Chance the Rapper,False
The Highs & The Lows,Star Line Gallery,2022,['Joey Bada$$'],"['DexLvL', 'Chance the Rapper']","['DexLvL', 'Joey Bada$$', 'Chance the Rapper']",7945225,743978,Chance the Rapper,False
Sun Come Down,The Big Day,2019,[],"['Nate Fox', 'Peter CottonTale', 'Nico Segal', 'Dwayne Verner Jr.', 'Eric Butler', 'Chance the Rapper', 'Gabe Jaskowiak', 'DIXSON', 'Charlie Handsome', 'Smoko Ono']","['Charlie Handsome', 'Peter CottonTale', 'Nico Segal', 'Nate Fox', 'Gabe Jaskowiak', 'Eric Butler', 'Dwayne Verner Jr.', 'DIXSON', 'Smoko Ono', 'Chance the Rapper']",4662042,446915,Chance the Rapper,False
Summer Friends,Coloring Book,2016,"['Francis and the Lights', 'Jeremih']",['Francis and the Lights'],"['BJ Burton', 'Aaron Lammer', 'Justin Vernon', 'Rostam', 'Francis and the Lights', 'Mitchell Owens', 'Meena Cho', 'Josephine Lee', 'Jeremih', 'Chance the Rapper']",2472234,150853,Chance the Rapper,False
Smoke Break,Coloring Book,2016,['Future'],['Garren Sean'],"['Garren Sean', 'Future', 'Chance the Rapper']",2472233,150853,Chance the Rapper,False
Smoke Again,Acid Rap,2013,['Ab-Soul'],['Blended Babies'],"['Ab-Soul', 'Chance the Rapper']",145995,29884,Chance the Rapper,False
Slide Around,The Big Day,2019,"['Nicki Minaj', 'Lil Durk']","['Nate Fox', 'Chance the Rapper', 'Pi’erre Bourne']","['Derrick Milano', 'Nate Fox', 'Pi’erre Bourne', 'Lil Durk', 'Nicki Minaj', 'Chance the Rapper']",4662051,446915,Chance the Rapper,False
Same Drugs,Coloring Book,2016,[],"['The Social Experiment', 'Lido']","['Peter CottonTale', 'Francis and the Lights', 'Nico Segal', 'Lido', 'Nate Fox', 'Chance the Rapper']",2472248,150853,Chance the Rapper,False
Roo,The Big Day,2019,"['CocoRosie', 'Taylor Bennett']","['Francis and the Lights', 'CocoRosie', 'Nate Fox', 'Nico Segal', 'Greg Landfair', 'Dwayne Verner Jr.', 'Chance the Rapper']","['Francis and the Lights', 'Nico Segal', 'Greg Landfair', 'Nate Fox', 'Sierra Casady', 'Bianca Casady', 'CocoRosie', 'Taylor Bennett', 'Chance the Rapper']",4662047,446915,Chance the Rapper,False
The Heart & The Tongue,Star Line Gallery,2021,[],"['Chance the Rapper', 'DexLvL']","['DexLvL', 'Chance the Rapper']",6544311,743978,Chance the Rapper,False
Instagram Song 3,Instagram EP,2020,['Daniel Caesar'],[],"['Chance the Rapper', 'Daniel Caesar']",5507220,629079,Chance the Rapper,False
Good Ass Intro,Acid Rap,2013,"['Peter CottonTale', 'Lili K', 'Kiara Lanier', 'J.P. Floyd', 'Will Miller', 'BJ the Chicago Kid']","['Peter CottonTale', 'Stefan Ponce', 'Cam O’bi']","['Stefan Ponce', 'Cam O’bi', 'Peter CottonTale', 'BJ the Chicago Kid', 'Will Miller', 'Chance the Rapper', 'J.P. Floyd']",128452,29884,Chance the Rapper,False
Instagram Song 1 (Mr. Perfect),Instagram EP,2020,[],[],['Chance the Rapper'],5507215,629079,Chance the Rapper,False
Chain Smoker,Acid Rap,2013,[],['Nate Fox'],['Chance the Rapper'],146887,29884,Chance the Rapper,False
Brain Cells,10 Day,2012,[],['Peter CottonTale'],['Chance the Rapper'],66831,15144,Chance the Rapper,False
Blessings (Reprise),Coloring Book,2016,"['Anderson .Paak', 'BJ the Chicago Kid', 'Raury', 'Ty Dolla $ign']","['The Social Experiment', 'Cam O’bi']","['Nico Segal', 'Fred Hammond', 'Peter CottonTale', 'Nate Fox', 'Chance the Rapper', 'Cam O’bi']",2472240,150853,Chance the Rapper,False
Blessings,Coloring Book,2016,['Jamila Woods'],['The Social Experiment'],"['Peter CottonTale', 'Nico Segal', 'Nate Fox', 'J.P. Floyd', 'Jamila Woods', 'Fred Hammond', 'Byron Cage', 'Chance the Rapper']",2468090,150853,Chance the Rapper,False
Big Fish,The Big Day,2019,['Gucci Mane'],"['Angel López', 'Federico Vindver', 'Timbaland', 'Chance the Rapper', 'TrapMoneyBenny']","['Timbaland', 'Gucci Mane', 'Chance the Rapper']",4662040,446915,Chance the Rapper,False
Ballin Flossin,The Big Day,2019,['Shawn Mendes'],"['Peter CottonTale', 'Greg Landfair', 'DIXSON', 'Eric Butler', 'Chance the Rapper', 'Nate Fox']","['Kevin Todd Jones', 'Kevin Hussein', 'Peter CottonTale', 'Nate Fox', 'Keith Crouch', 'Greg Landfair', 'DIXSON', 'Scott Harris', 'Shawn Mendes', 'Chance the Rapper']",4730331,446915,Chance the Rapper,False
Angels,Coloring Book,2015,['Saba'],"['The Social Experiment', 'Lido']","['Nico Segal', 'Nate Fox', 'Peter CottonTale', 'Lido', 'Saba', 'Chance the Rapper']",2339009,150853,Chance the Rapper,False
All We Got,Coloring Book,2016,"['Chicago Childrens Choir', 'Kanye West']","['Kanye West', 'The Social Experiment']","['Greg Landfair', 'Francis and the Lights', 'Vasil Garnanliey', 'Teddy Jackson', 'Taylor Marrow-Simmons', 'Sima Cunningham', 'Peter CottonTale', 'Nico Segal', 'Nate Fox', 'Kanye West', 'Josephine Lee', 'Jack Red', 'Isaiah Robinson', 'Grace Weber', 'Chance the Rapper']",2472231,150853,Chance the Rapper,False
All Night,Coloring Book,2016,['Knox Fortune'],['KAYTRANADA'],"['Kevin Rhomberg', 'Nico Segal', 'Sven Torstenson', 'Knox Fortune', 'KAYTRANADA', 'Taylor Bennett', 'Chance the Rapper']",2472236,150853,Chance the Rapper,False
All Day Long,The Big Day,2019,['John Legend'],"['TrapMoneyBenny', 'Peter CottonTale', 'Nico Segal', 'Nate Fox', 'Greg Landfair', 'Eric Butler', 'Dwayne Verner Jr.', 'DeMartis ‘Sax’ Williams', 'DIXSON', 'Chance the Rapper']","['Peter CottonTale', 'Nico Segal', 'Nate Fox', 'Greg Landfair', 'Dwayne Verner Jr.', 'DIXSON', 'Chance the Rapper']",4730279,446915,Chance the Rapper,False
Acid Rain,Acid Rap,2013,[],['Jake One'],"['Jake One', 'Chance the Rapper']",119999,29884,Chance the Rapper,False
A Bar About a Bar,Star Line Gallery,2022,[],"['DexLvL', 'Chance the Rapper']",['Chance the Rapper'],8039921,743978,Chance the Rapper,False
4 Quarters in the Black (Skit),The Big Day,2019,[],"['DexLvL', 'Eric Butler']","['Colleen Mares', 'Chance the Rapper']",4730364,446915,Chance the Rapper,False
22 Offs,10 Day,2012,[],['Flying Lotus'],"['Chance the Rapper', 'Flying Lotus']",72706,15144,Chance the Rapper,False
"14,400 Minutes",10 Day,2012,[],['Such N Such'],"['Such N Such', 'Chance the Rapper']",72696,15144,Chance the Rapper,False
Child of God,Star Line Gallery,2022,[],"['Peter CottonTale', 'Al Hug', 'DexLvL']","['Al Hug', 'Peter CottonTale', 'DexLvL', 'Moses Sumney', 'Chance the Rapper']",7820544,743978,Chance the Rapper,False
Cocoa Butter Kisses,Acid Rap,2013,"['VIC MENSA', 'Twista']","['Peter CottonTale', 'Cam O’bi']","['Peter CottonTale', 'Cam O’bi', 'Chance the Rapper', 'Twista', 'VIC MENSA']",146864,29884,Chance the Rapper,False
5 Year Plan,The Big Day,2019,['Randy Newman'],"['Francis and the Lights', 'Gabe Jaskowiak', 'Peter CottonTale', 'DIXSON', 'Jordan Ware', 'Nate Fox', 'Chance the Rapper']","['Francis and the Lights', 'Peter CottonTale', 'Randy Newman', 'Gabe Jaskowiak', 'DIXSON', 'Jordan Ware', 'Macie Stewart', 'Nate Fox', 'Chance the Rapper']",4662118,446915,Chance the Rapper,False
D.R.A.M. Sings Special,Coloring Book,2016,['DRAM'],"['Jordan Ware', 'The Social Experiment']","['Karl Rubin', 'Nico Segal', 'Nate Fox', 'Jordan Ware', 'Elle Varner', 'DRAM', 'Chance the Rapper']",2472247,150853,Chance the Rapper,False
Do You Remember,The Big Day,2019,['Death Cab for Cutie'],"['Garren Sean', 'Nico Segal', 'Dwayne Verner Jr.', 'Eric Butler', 'Francis and the Lights', 'Peter CottonTale', 'Nate Fox', 'Justin Vernon', 'DIXSON', 'Chance the Rapper']","['Francis and the Lights', 'Peter CottonTale', 'Nico Segal', 'Nate Fox', 'Justin Vernon', 'Garren Sean', 'Eric Butler', 'Dwayne Verner Jr.', 'Benjamin Gibbard', 'Chance the Rapper']",4728705,446915,Chance the Rapper,False
I Got You (Always and Forever),The Big Day,2019,"['Kierra Sheard', 'En Vogue', 'Ari Lennox']","['DIXSON', 'Eric Butler', 'Garren Sean', 'Dwayne Verner Jr.', 'Peter CottonTale', 'Carter Lang', 'Nate Fox', 'TrapMoneyBenny', 'Chance the Rapper']","['Peter CottonTale', 'Nate Fox', 'Kierra Sheard', 'Garren Sean', 'Eric Butler', 'En Vogue', 'Dwayne Verner Jr.', 'Ari Lennox', 'Chance the Rapper', 'Carter Lang']",4730357,446915,Chance the Rapper,False
Hot Shower,The Big Day,2019,"['DaBaby', 'MadeinTYO']","['Smoko Ono', 'Chance the Rapper']","['Smoko Ono', 'DaBaby', 'MadeinTYO', 'Chance the Rapper']",4662044,446915,Chance the Rapper,False
Hey Ma,10 Day,2012,[],"['Zak Fox', 'MC Tree G']","['Chance the Rapper', 'Zak Fox', 'MC Tree G']",72694,15144,Chance the Rapper,False
Handsome,The Big Day,2019,['Megan Thee Stallion'],"['DexLvL', 'Peter CottonTale', 'TrapMoneyBenny', 'Chance the Rapper', 'Smoko Ono']","['DexLvL', 'Pink Sweat$', 'Peter CottonTale', 'Smoko Ono', 'TrapMoneyBenny', 'Megan Thee Stallion', 'Chance the Rapper']",4730363,446915,Chance the Rapper,False
Instagram Song 2,Instagram EP,2020,[],[],[],5487272,629079,Chance the Rapper,False
Get a Bag,The Big Day,2019,['Calboy'],"['Nate Fox', 'Chance the Rapper', 'Peter CottonTale', 'Lido']","['Lido', 'Peter CottonTale', 'James Taylor', 'Nate Fox', 'Chance the Rapper']",4730367,446915,Chance the Rapper,False
How Great,Coloring Book,2016,"['Nicole Steen', 'Jay Electronica']",['The Social Experiment'],"['Ed Cash', 'Chris Tomlin', 'Jesse Reeves', 'Carter Lang', 'Jay Electronica', 'Peter CottonTale', 'Nate Fox', 'Chance the Rapper']",2472220,150853,Chance the Rapper,False
Found a Good One (Single No More),The Big Day,2019,"['SWV', 'Murda Beatz']","['Nico Segal', 'Greg Landfair', 'TrapMoneyBenny', 'Chance the Rapper', 'DIXSON', 'Nate Fox', 'Dwayne Verner Jr.', 'Eric Butler', 'Peter CottonTale', 'Murda Beatz']","['SWV', 'Murda Beatz', 'Peter CottonTale', 'Nico Segal', 'Nate Fox', 'Lisa Mishra', 'Greg Landfair', 'Dwayne Verner Jr.', 'DIXSON', 'Chance the Rapper']",4730368,446915,Chance the Rapper,False
Finish Line / Drown,Coloring Book,2016,"['Noname', 'Eryn Allen Kane', 'T-Pain', 'Kirk Franklin']",['The Social Experiment'],"['Stix', 'Elton Orozco', 'T-Pain', 'Sima Cunningham', 'Rajiv Halim', 'Peter CottonTale', 'Noname', 'Nico Segal', 'Nate Fox', 'Macie Stewart', 'Kirk Franklin', 'Josephine Lee', 'Jack Red', 'Isaiah Robinson', 'Grace Weber', 'Eryn Allen Kane', 'Chance the Rapper', 'Cam O’bi']",2472239,150853,Chance the Rapper,False
Favorite Song,Acid Rap,2013,['Childish Gambino'],['Nate Fox'],"['Nate Fox', 'Chance the Rapper', 'Childish Gambino']",146855,29884,Chance the Rapper,False
Family,10 Day,2012,"['VIC MENSA', 'Sulaiman']",['Blended Babies'],"['Chance the Rapper', 'VIC MENSA', 'Sulaiman', 'Blended Babies']",69744,15144,Chance the Rapper,False
Everything’s Good (Good Ass Outro),Acid Rap,2013,[],['Cam O’bi'],"['Cam O’bi', 'Chance the Rapper']",146886,29884,Chance the Rapper,False
Everybody’s Something,Acid Rap,2013,"['Saba', 'BJ the Chicago Kid']",['DJ O-ZONE'],"['DJ O-ZONE', 'BJ the Chicago Kid', 'Chance the Rapper', 'Saba']",146878,29884,Chance the Rapper,False
Fuck You Tahm Bout,10 Day,2012,[],['Lex Luger'],"['Chance the Rapper', 'Lex Luger']",68612,15144,Chance the Rapper,False
Eternal,The Big Day,2019,['Smino'],"['Carter Lang', 'DIXSON', 'Peter CottonTale', 'Nate Fox', 'Smoko Ono', 'Chance the Rapper', 'Garren Sean', 'Nico Segal']","['Greg Landfair', 'Ken Bennett', 'Garren Sean', 'Smoko Ono', 'DIXSON', 'Smino', 'Chance the Rapper']",4730282,446915,Chance the Rapper,False
Paper,Back from the Dead 2,2014,['Gucci Mane'],['Purps'],"['Gucci Mane', 'Chief Keef', 'Purps']",561096,113109,Chief Keef,False
Pardon Em,"The Leek, Vol. 5",2016,[],['ISOBeats'],"['ISOBeats', 'Chief Keef']",2432774,412678,Chief Keef,False
Part Ways,Mansion Musick,2018,[],['CBMIX'],"['CBMIX', 'Chief Keef']",3791912,439113,Chief Keef,False
Pay Day,"The GloFiles, Pt. 2",2018,"['Terintino', 'Tadoe']",['Hollywood J'],"['Terintino', 'Tadoe', 'Chief Keef']",3866644,428021,Chief Keef,False
Pee Pee’d,"Bang 3, Pt. 2",2015,[],['GGP'],"['GGP', 'Chief Keef']",2309343,128801,Chief Keef,False
Picking Big Sean Up,4NEM,2021,[],"['SahBeats', 'Young Malcolm']","['Young Malcolm', 'SahBeats', 'Chief Keef']",5949713,847169,Chief Keef,False
Pharrell,Back from the Dead 3,2018,[],['JT (Producer)'],['Chief Keef'],4055141,474619,Chief Keef,False
Phone,Nobody 2,2015,[],['12Hunna'],"['12Hunna', 'Chief Keef']",2389540,139393,Chief Keef,False
Pick One,Bang 3,2015,[],['DP Beats'],"['Chief Keef', 'DP Beats']",2270332,52547,Chief Keef,False
Pit Stop,Nobody,2014,[],['12Hunna'],['Chief Keef'],638993,116588,Chief Keef,False
Outerspace Glo,"The GloFiles, Pt. 1",2016,[],['Hollywood J'],"['Hollywood J', 'Chief Keef']",2472430,428116,Chief Keef,False
Please,Sorry 4 the Weight,2015,[],"['Chief Keef', 'DP Beats']",['Chief Keef'],708491,119412,Chief Keef,False
Perry the Platypus,Ferrari Musik,2020,[],['Shawn Ferrari'],['Chief Keef'],6072528,690348,Chief Keef,False
Opponent,Camp GloTiggy,2016,[],['Zaytoven'],"['Zaytoven', 'Chief Keef']",2472820,533387,Chief Keef,False
OG Fiji,"Bang 3, Pt. 2",2015,[],['Zaytoven'],"['Zaytoven', 'Chief Keef']",2285097,128801,Chief Keef,False
On Top,The Glory Road,2011,"['Lil Reese', 'Sasha Go Hard', 'Fredo Santana']",['DJ Kenn Aon'],"['Fredo Santana', 'Lil Reese', 'Sasha Go Hard', 'DJ Kenn Aon', 'Chief Keef']",4026774,454306,Chief Keef,False
On the Corner,"The GloFiles, Pt. 3",2015,[],['DP Beats'],['Chief Keef'],739991,576438,Chief Keef,False
On My Momma,Sorry 4 the Weight,2015,[],"['Chief Keef', 'DP Beats']",['Chief Keef'],707579,119412,Chief Keef,False
OK Koolaid,"The Leek, Vol. 6",2018,[],['ProtegeBeatz'],"['ProtegeBeatz', 'Chief Keef']",4141467,486460,Chief Keef,False
Oh My Goodness,"The Leek, Vol. 3",2014,[],"['Oh!Zone', 'ISOBeats']",['Chief Keef'],462762,461790,Chief Keef,False
Oh Lawd,Nobody,2014,['Tadoe'],['12Hunna'],"['Tadoe', 'Chief Keef']",637764,116588,Chief Keef,False
OFF WIT HIS HEAD,The GloFiles (Pt. 4),2014,[],"['@OTWGBeats', 'Chris Surreal']","['@OTWGBeats', 'Chief Keef', 'Chris Surreal']",578687,609784,Chief Keef,False
Off the Tooka,"Bang 3, Pt. 2",2015,['Tadoe'],['YK808'],"['YK808', 'Tadoe', 'Chief Keef']",493024,128801,Chief Keef,False
Office,"The Leek, Vol. 5",2016,[],['Chris Cheney'],"['Chris Cheney', 'Chief Keef']",2432767,412678,Chief Keef,False
Obama,Finally Rollin 2 (Glo’d Up Deluxe Edition),2015,[],"['Metro Boomin', 'Southside']",['Chief Keef'],2370563,741435,Chief Keef,False
OB4L,Finally Rich (Complete Edition),2012,[],['YGOnDaBeat'],"['YGOnDaBeat', 'Chief Keef']",110673,976755,Chief Keef,False
Now It’s Over,"The Leek, Vol. 2",2013,[],['Izze The Producer'],"['Chief Keef', 'Izze The Producer']",127936,460752,Chief Keef,False
Police,"The GloFiles, Pt. 1",2016,[],['Chris Cheney'],"['Chris Cheney', 'Chief Keef']",2470826,428116,Chief Keef,False
On What,4NEM,2021,[],"['Chief Keef', 'Slowburnz', 'Akachi']","['Akachi', 'Slowburnz', 'Chief Keef']",7477677,847169,Chief Keef,False
Psych Ward,"The Leek, Vol. 2",2015,[],['Ace Bankz'],"['Ace Bankz', 'Chief Keef']",1800161,460752,Chief Keef,False
Running Late,Two Zero One Seven,2017,[],['Chief Keef'],['Chief Keef'],2946567,313646,Chief Keef,False
Pull Up,"The Leek, Vol. 1",2014,[],['12Hunna'],"['12Hunna', 'Chief Keef']",340653,460760,Chief Keef,False
Send It Up,Sorry 4 the Weight,2015,[],['Chopsquad DJ'],['Chief Keef'],708502,119412,Chief Keef,False
Selfish,The Cozart,2018,[],['CBMIX'],"['CBMIX', 'Chief Keef']",3983895,460938,Chief Keef,False
Self,Almighty So,2013,['Tadoe'],['QuaBeats'],"['Chief Keef', 'Tadoe']",209728,33576,Chief Keef,False
See Through,4NEM,2021,[],"['Bass Kids', 'Hollywood J']","['Hollywood J', 'Bass Kids', 'Chief Keef']",7477685,847169,Chief Keef,False
Say I Ain’t Pick Yo Weak Ass Up,4NEM,2021,['Ballout'],['Young Malcolm'],"['Young Malcolm', 'Ballout', 'Chief Keef']",6977045,847169,Chief Keef,False
Save That Shit,Back from the Dead,2012,[],['Young Chop'],"['Chief Keef', 'Young Chop']",74276,17972,Chief Keef,False
Save Me,"The Leek, Vol. 1",2014,[],['Lex Luger'],['Chief Keef'],367130,460760,Chief Keef,False
Savage,Finally Rich (Exclusive Edition),2012,[],['Nard & B'],"['Chief Keef', 'Nard & B']",103879,738960,Chief Keef,False
Same (Remix),The Cozart,2018,[],"['Tyler Unland', 'Marvel Years']","['Tyler Unland', 'Marvel Years', 'Chief Keef']",3983909,460938,Chief Keef,False
Same,The Cozart,2018,[],['DP Beats'],"['DP Beats', 'Chief Keef']",3983888,460938,Chief Keef,False
Salty,Almighty So,2013,[],['Bezz Luciano'],['Chief Keef'],236894,33576,Chief Keef,False
Run Up,"The Leek, Vol. 4",2016,[],['ToneSelfMade'],['Chief Keef'],2411533,407226,Chief Keef,False
No Tomorrow,Finally Rich (Exclusive Edition),2012,[],"['Pluss', 'Mike WiLL Made-It']","['Pluss', 'Chief Keef', 'Mike WiLL Made-It']",102656,738960,Chief Keef,False
PT’s,The Leek (Vol. 8),2019,[],"['DP Beats', 'Chief Keef']","['DP Beats', 'Chief Keef']",4726631,530800,Chief Keef,False
Runnin,The Leek (Vol. 8),2015,[],"['Chief Keef', 'DP Beats']","['DP Beats', 'Chief Keef']",739955,530800,Chief Keef,False
Rolls (DP Beats),Forever Chopsquad,2015,[],['DP Beats'],['Chief Keef'],3160130,137701,Chief Keef,False
Roadrunner,The Leek (Vol. 8),2015,[],"['Jay-O Luciano', 'Doughboy Beatz', 'Metro Boomin']","['Doughboy Beatz', 'Jay-O Luciano', 'Chief Keef', 'Metro Boomin']",2289600,530800,Chief Keef,False
Rider,"The Leek, Vol. 2",2013,['Wiz Khalifa'],"['Young Chop', '12Hunna']","['Chief Keef', 'Wiz Khalifa', 'Young Chop', '12Hunna']",233887,460752,Chief Keef,False
Rico,Ferrari Musik,2020,[],"['Chello Beats', 'Akachi']",['Chief Keef'],5782539,690348,Chief Keef,False
Respect,"The GloFiles, Pt. 1",2016,[],['Sonny Digital'],"['Sonny Digital', 'Chief Keef']",3787442,428116,Chief Keef,False
Reefah,Two Zero One Seven,2017,[],['Lex Luger'],"['Lex Luger', 'Chief Keef']",2945525,313646,Chief Keef,False
Redbull,"The GloFiles, Pt. 3",2015,[],['DP Beats'],['Chief Keef'],2421513,576438,Chief Keef,False
Red,"The Leek, Vol. 6",2017,[],['Joseph DaVinci'],['Chief Keef'],2960203,486460,Chief Keef,False
Real Money,"Bang 3, Pt. 2",2015,[],['Chief Keef'],"['Tadoe', 'Chief Keef']",2311019,128801,Chief Keef,False
Rawlings,Mansion Musick,2018,[],['DP Beats'],"['DP Beats', 'Chief Keef']",3817566,439113,Chief Keef,False
Raw,The GloFiles (Pt. 4),2015,[],"['Snaxbeats', 'ISOBeats']",['Chief Keef'],2256039,609784,Chief Keef,False
Rap About It,Camp GloTiggy,2016,[],['Zaytoven'],"['Zaytoven', 'Chief Keef']",3960986,533387,Chief Keef,False
Racist,"Bang 3, Pt. 2",2015,[],['Zaytoven'],"['Zaytoven', 'Chief Keef']",2308806,128801,Chief Keef,False
Rolls (Rozey),"The Leek, Vol. 4",2016,[],"['Just Beats (PR)', 'Persian Beats', 'Rozey']","['Just Beats (PR)', 'Persian Beats', 'Rozey', 'Chief Keef']",2413657,407226,Chief Keef,False
No It Don’t,"Bang, Pt. 2",2013,[],['Oh!Zone'],"['Chief Keef', 'Oh!Zone']",205954,26355,Chief Keef,False
My Baby,Thot Breaker,2017,[],['D. Rich'],"['D. Rich', 'Chief Keef']",2990716,102033,Chief Keef,False
No Hook Gang,"The Leek, Vol. 2",2015,['Andy Milonakis'],['Chief Keef'],['Chief Keef & Andy Milonakis'],705107,460752,Chief Keef,False
Mailbox,Dedication,2017,[],['D. Rich'],"['D. Rich', 'Chief Keef']",3240723,377265,Chief Keef,False
Madder,Finally Rollin 2 (Glo’d Up Deluxe Edition),2015,[],['Zaytoven'],['Chief Keef'],2424066,741435,Chief Keef,False
Macaroni Time (Remix),"The Leek, Vol. 4",2016,[],['Dirty Vans'],"['Chief Keef', 'Dirty Vans']",219540,407226,Chief Keef,False
Macaroni Time,"The Leek, Vol. 2",2013,[],"['Vince Carter', 'Dirty Vans']","['Vince Carter', 'Dirty Vans', 'Chief Keef']",151267,460752,Chief Keef,False
Mac 10,"The Leek, Vol. 5",2016,[],['ZtheSavage'],"['ZtheSavage', 'Chief Keef']",2417273,412678,Chief Keef,False
Lucky Bastard,"The Leek, Vol. 3",2014,[],['Kongo Beats'],"['Chief Keef', 'Kongo Beats']",570314,461790,Chief Keef,False
Love Sosa,Finally Rich (Exclusive Edition),2012,[],['Young Chop'],"['Chief Keef', 'Young Chop']",92464,738960,Chief Keef,False
Love No Thotties,"The Leek, Vol. 2",2013,[],"['Dotmidorii', 'Trapblancobeatz']","['Dotmidorii', 'Trapblancobeatz', 'Chief Keef']",221021,460752,Chief Keef,False
Love Me,"The GloFiles, Pt. 3",2016,[],['DP Beats'],"['Chief Keef', 'DP Beats']",2438639,576438,Chief Keef,False
Love Don’t Live Here,CK&MWM1*,2021,[],"['SkitzoDidIt', 'Mike WiLL Made-It']","['SkitzoDidIt', 'Mike WiLL Made-It', 'Chief Keef']",5271979,688264,Chief Keef,False
Louie Bag,Nobody 2,2015,[],['12Hunna'],"['12Hunna', 'Chief Keef']",2389550,139393,Chief Keef,False
Lots of Thots,"The Leek, Vol. 6",2013,['Ballout'],['Murda Beatz'],"['Chief Keef', 'Ballout', 'Murda Beatz']",212516,486460,Chief Keef,False
Long,"The GloFiles, Pt. 1",2016,['Tadoe'],['Ace Bankz'],"['Ace Bankz', 'Tadoe', 'Chief Keef']",2840225,428116,Chief Keef,False
Make It Count,"The Leek, Vol. 1",2013,[],['12Hunna'],['Chief Keef'],309268,460760,Chief Keef,False
Lola Bunny,Ferrari Musik,2020,[],"['ProdKyle', 'Shawn Ferrari', 'Akachi']",['Chief Keef'],5898355,690348,Chief Keef,False
Light Heist,"The GloFiles, Pt. 2",2016,[],"['CBMIX', 'Young Chop', 'Chief Keef']","['Young Chop', 'CBMIX', 'Chief Keef']",2771104,428021,Chief Keef,False
Letter,Mansion Musick,2018,[],['K.E. on the Track'],"['K.E. on the Track', 'Chief Keef']",3817572,439113,Chief Keef,False
Let’s Get Money,The Glory Road,2011,"['SD', 'Leek-e-Leek']","['Leek-e-Leek', 'DJ Kenn Aon']","['DJ Kenn Aon', 'Leek-e-Leek', 'SD', 'Chief Keef']",4026761,454306,Chief Keef,False
Let Me See,Dedication,2017,['Tadoe'],['D. Rich'],"['D. Rich', 'Tadoe', 'Chief Keef']",3259874,377265,Chief Keef,False
Less Speed,Dedication,2017,[],['D. Rich'],"['D. Rich', 'Chief Keef']",3293696,377265,Chief Keef,False
Law & Order,Finally Rollin 2 (Glo’d Up Deluxe Edition),2015,[],['D. Rich'],['Chief Keef'],2364190,741435,Chief Keef,False
Laurel Canyon,Bang 3,2015,[],['Chopsquad DJ'],"['Young Chop', 'Chief Keef', 'Chopsquad DJ']",2270211,52547,Chief Keef,False
Laughin’ to the Bank,Finally Rich (Exclusive Edition),2012,[],['YGOnDaBeat'],"['YGOnDaBeat', 'Chief Keef']",103151,738960,Chief Keef,False
Lady Gaga,"The Leek, Vol. 3",2015,[],['Tarentino'],"['Chief Keef', 'Tarentino']",2378119,461790,Chief Keef,False
Kush With Them Beans,Finally Rich (Complete Edition),2012,[],['Kwony Cash'],"['Chief Keef', 'Kwony Cash']",99624,976755,Chief Keef,False
Kool-Aid,Camp GloTiggy,2016,[],['Zaytoven'],"['Zaytoven', 'Chief Keef']",2472761,533387,Chief Keef,False
